"...1","...2","...3","...4","...5","...6","243","Consolidado por Entidad del Número de Beneficiarios","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68"
NA,NA,NA,NA,NA,NA,"2025/01/28","Beneficiarios atendidos en el registro actual de los padrones de beneficiarios de los programas Federales y Estatales integrados al Padrón Único de Beneficiarios (PUB) de la Secretaría de Bienestar, con el número de intervenciones correspondientes a cada periodo y programa indicados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Para conocer el significado de la nomenclatura utilizada, se recomienda descargar el catálogo de programas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Trimestre : Julio - Septiembre 2024 / Corte : 2025/01/28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Cve Padrón : 0006","Cve Padrón : 0020","Cve Padrón : 0085","Cve Padrón : 0086","Cve Padrón : 0092","Cve Padrón : 0103","Cve Padrón : 0109","Cve Padrón : 0150","Cve Padrón : 0155","Cve Padrón : 0172","Cve Padrón : 0219","Cve Padrón : 0220","Cve Padrón : 0221","Cve Padrón : 0250","Cve Padrón : 0252","Cve Padrón : 0253","Cve Padrón : 0254","Cve Padrón : 0255","Cve Padrón : 0256","Cve Padrón : 0257","Cve Padrón : 0260","Cve Padrón : 0263","Cve Padrón : 0263","Cve Padrón : 0263","Cve Padrón : 0267","Cve Padrón : 0271","Cve Padrón : 0273","Cve Padrón : 0273","Cve Padrón : 0273","Cve Padrón : 0286","Cve Padrón : 0296","Cve Padrón : 0297","Cve Padrón : 0301","Cve Padrón : 0308","Cve Padrón : 0341","Cve Padrón : 0349","Cve Padrón : 0364","Cve Padrón : 0406","Cve Padrón : 0425","Cve Padrón : 0426","Cve Padrón : 0519","Cve Padrón : 0806","Cve Padrón : 0893","Cve Padrón : 0893","Cve Padrón : 0893","Cve Padrón : 0929","Cve Padrón : 0938","Cve Padrón : S038","Cve Padrón : S052","Cve Padrón : S052","Cve Padrón : S052","Cve Padrón : S057","Cve Padrón : S174","Cve Padrón : S176","Cve Padrón : S177","Cve Padrón : S213","Cve Padrón : S286","Cve Padrón : S287","Cve Padrón : S287","Cve Padrón : S287","Cve Padrón : S290"
NA,NA,NA,NA,NA,NA,NA,"Cve Prog. : S174","Cve Prog. : S249","Cve Prog. : S178","Cve Prog. : S178","Cve Prog. : S178","Cve Prog. : S249","Cve Prog. : S249","Cve Prog. : 08392","Cve Prog. : 08391","Cve Prog. : S219","Cve Prog. : E064","Cve Prog. : E064","Cve Prog. : E064","Cve Prog. : S282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : S052","Cve Prog. : S052","Cve Prog. : S052","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : S249","Cve Prog. : U282","Cve Prog. : U282","Cve Prog. : S273","Cve Prog. : S249","Cve Prog. : S286","Cve Prog. : 08410","Cve Prog. : S217","Cve Prog. : S178","Cve Prog. : S249","Cve Prog. : S249","Cve Prog. : E016","Cve Prog. : S178","Cve Prog. : S280","Cve Prog. : S280","Cve Prog. : S280","Cve Prog. : U011","Cve Prog. : S177","Cve Prog. : S038","Cve Prog. : S052","Cve Prog. : S052","Cve Prog. : S052","Cve Prog. : S057","Cve Prog. : S174","Cve Prog. : S176","Cve Prog. : S177","Cve Prog. : S213","Cve Prog. : S286","Cve Prog. : S287","Cve Prog. : S287","Cve Prog. : S287","Cve Prog. : S290"
"Cve Entidad Federativa","Entidad Federativa","Beneficiarios1","Intervenciones2","Dependencias3","Padrones4","Programas5","Periodo : Julio-Agosto 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Enero-Septiembre 2024","Periodo : Enero-Septiembre 2024","Periodo : Enero-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Julio 2024","Periodo : Agosto-Agosto 2024","Periodo : Septiembre-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Julio 2024","Periodo : Agosto-Agosto 2024","Periodo : Septiembre-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Enero-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Agosto 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Julio 2024","Periodo : Agosto-Agosto 2024","Periodo : Septiembre-Septiembre 2024","Periodo : Julio-Agosto 2024","Periodo : Enero-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Julio 2024","Periodo : Agosto-Agosto 2024","Periodo : Septiembre-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Agosto 2024","Periodo : Julio-Agosto 2024","Periodo : Enero-Septiembre 2024","Periodo : Julio-Septiembre 2024","Periodo : Julio-Agosto 2024","Periodo : Julio-Julio 2024","Periodo : Agosto-Agosto 2024","Periodo : Septiembre-Septiembre 2024","Periodo : Julio-Septiembre 2024"
"01","AGUASCALIENTES","182371","1707630","9","23","13","1013","0","24","0","2","0","0","0","0","2","214","1017","1995","12","21","3","0","0","1","0","0","185","145","146","0","29","2","2","2","0","7","0","0","0","0","0","0","0","0","0","0","0","1786","1783","1188","0","1694","6","479254","480894","478685","0","0","228974","9","0","28438","0","0","0","97"
"02","BAJA CALIFORNIA","498446","2675590","9","33","16","1292","0","4020","0","34","13","4","0","0","5","191","1320","2496","21","45","15","9","1","0","0","3","338","264","236","0","0","1","1","1","12","3","0","0","4","62960","0","0","15","0","0","0","0","981","876","528","0","2536","71504","617743","621184","622208","68","14047","602674","73","15","47844","0","0","0","5"
"03","BAJA CALIFORNIA SUR","116882","1626268","8","23","14","550","0","12","0","0","2","0","0","0","0","54","212","516","6","0","3","0","0","0","0","0","218","62","183","0","25","1","1","1","0","0","0","0","2","11738","0","0","0","0","0","0","0","1112","1027","728","0","2227","6","488995","493074","496329","8","2663","115094","38","0","11380","0","0","0","1"
"04","CAMPECHE","283368","2045907","9","32","17","551","0","5076","7476","87","12","8","0","0","7","112","362","1407","5","3","3","3","0","0","0","0","17","0","0","0","0","0","0","0","21","1","0","0","10","10800","0","0","39","0","0","0","0","3450","3448","2350","0","1149","135064","544353","550199","535038","84","7214","159544","55","49","21710","18808","18729","18644","19"
