"actividades legislativas","Actividades primarias","Comercio al por mayor","construcción","Corporativos","Enegía ","Industria manufactureras","Información en medios masivos","Minería ","Servicios de apoyo ","Servicios de esparcimiento","Salud","Servicios educativos","Servicios financieros y seguros","Servicios inmobiliarios ","Servicios profesionales y técnicos ","Transporte","Comercio al pormenor","Servicios no gubernamentales","Servicios de alojamiento y alimentación"
340,29,1670,522,3,54,4287,147,7,746,571,3203,1191,950,926,1532,374,18460,8718,7870
17,1,34,3,0,4,113,8,1,12,32,50,35,7,29,18,6,571,246,257
34,5,55,14,0,5,259,8,4,22,35,123,39,24,30,54,22,1036,348,371
9,0,12,0,0,2,45,6,1,2,6,20,14,5,14,5,2,256,74,104
56,2,323,40,1,6,838,7,3,48,69,213,156,63,127,83,92,2078,784,856
24,1,48,5,0,5,171,5,1,18,31,111,49,19,54,34,9,967,332,427
23,4,44,4,0,3,238,8,0,20,38,128,76,27,43,45,6,1247,386,435
11,1,9,0,0,3,64,2,0,4,8,16,12,3,13,6,1,236,67,117
12,0,26,0,0,1,61,3,1,4,12,28,17,3,18,6,1,291,106,156
17,0,6,0,0,2,59,1,0,0,7,17,10,5,6,4,1,262,77,110
23,2,57,4,0,4,255,8,1,18,20,67,68,39,41,18,15,926,326,393
300,131,575,169,0,32,1119,64,8,171,230,1133,589,525,325,593,276,6693,3787,2409
514,23,1205,301,6,91,2518,128,11,388,402,2686,1238,1275,988,1068,460,12239,7870,4661
133,2,114,21,2,11,471,25,4,41,41,255,163,123,83,104,78,1547,851,601
597,9,1873,462,2,48,4137,236,7,889,587,4824,1912,2185,1157,2157,1049,22887,12413,7409
92,3,95,23,0,9,473,19,1,40,79,309,163,151,147,142,42,2066,1154,1049
93,53,154,15,0,4,206,17,14,36,48,174,172,45,54,79,37,1644,837,494
32,10,28,6,0,4,52,8,3,3,16,46,26,22,44,16,15,390,227,231
103,171,105,20,1,18,357,25,1,32,31,125,129,40,74,61,36,1326,785,520
110,89,72,14,1,16,223,21,21,13,34,104,101,41,44,56,59,1003,480,381
381,118,433,266,1,49,1257,70,13,162,238,940,443,378,413,524,231,4341,2826,2291
235,42,424,210,1,29,1313,68,5,277,248,725,429,557,500,451,247,6136,3187,2825
50,30,13,13,0,4,92,8,3,15,15,52,31,18,29,20,31,338,151,197
