"nombre_abreviado","csv"
"actividades legislativas","denue_inegi_93"
"Actividades primarias","denue_inegi_11"
"Comercio al por mayor","denue_inegi_43"
"construcción","denue_inegi_23"
"Corporativos","denue_inegi_55"
"Enegía ","denue_inegi_22"
"Industria manufactureras","denue_inegi_31-33"
"Información en medios masivos","denue_inegi_51"
"Minería ","denue_inegi_21"
"Servicios de apoyo ","denue_inegi_56"
"Servicios de esparcimiento","denue_inegi_71"
"Salud","denue_inegi_62"
"Servicios educativos","denue_inegi_61"
"Servicios financieros y seguros","denue_inegi_52"
"Servicios inmobiliarios ","denue_inegi_53"
"Servicios profesionales y técnicos ","denue_inegi_54"
"Transporte","denue_inegi_48-49"
"Comercio al pormenor","denue_inegi_46111-46911"
"Servicios no gubernamentales","denue_inegi_81"
"Servicios de alojamiento y alimentación","denue_inegi_72"
