nombre_abreviado,Act.  Economica ,path,csv,descarga_csv,descarga_shp
construcci髇,Construcci贸n,C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_23_.csv,_00_23_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_23_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_23_shp.zip
actividades legislativas,"Actividades legislativas, gubernamentales, de impartici贸n de justicia y de organismos internacionales y extraterritoriales",C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_93_.csv,_00_93_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_93_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_93_shp.zip
Actividades primarias,"Agricultura, cr铆a y explotaci贸n de animales, aprovechamiento forestal, pesca y caza",C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_11_.csv,_00_11_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_11_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_11_shp.zip
Comercio al por mayor,Comercio al por mayor,C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_43_.csv,_00_43_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_43_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_43_shp.zip
Comercio al por menor (1 de 4),Comercio al por menor (1 de 4),C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_46111_.csv,_00_46111_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46111_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46111_shp.zip
Comercio al por menor (2 de 4),Comercio al por menor (2 de 4),C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_46112-46311_.csv,_00_46112-46311_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46112-46311_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46112-46311_shp.zip
Comercio al por menor (3 de 4),Comercio al por menor (3 de 4),C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_46321-46531_.csv,_00_46321-46531_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46321-46531_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46321-46531_shp.zip
Conmercio al por menor (4 de 4),Comercio al por menor (4 de 4),C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_46591-46911_.csv,_00_46591-46911_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46591-46911_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_46591-46911_shp.zip
Corporativos,Corporativos,C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_55_.csv,_00_55_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_55_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_55_csv.zip
Informaci髇 en medios masivos,Informaci贸n en medios masivos,C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_51_.csv,_00_51_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_51_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_51_shp.zip
Miner韆 ,Miner铆a,C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_21_.csv,_00_21_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_21_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_21_shp.zip
Industria manufactureras,Industrias manufactureras,C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_31-33_.csv,_00_31_33_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_31-33_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_31-33_shp.zip
Eneg韆 ,"Generaci贸n, transmisi贸n y distribuci贸n de energ铆a el茅ctrica, suministro de agua y de gas por ductos al consumidor final",C:/proyecto_ep/scrapping_ok/DENUE/11_2024/conjunto_de_datos_11_2024/denue_inegi_00_22_.csv,_00_22_,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_22_csv.zip,https://www.inegi.org.mx/contenidos/masiva/denue/denue_00_22_shp.zip
