"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10"
"01001",0.973353070859493,-0.106671054500857,0.117338971990657,-0.109615090097334,-0.0991428502417888,-0.00416262457473437,0.0605485526972008,0.00112709721325958,0.0169614356619814,-0.00985434099460816
"01002",0.97563964651401,-0.128879329388783,0.111723376365315,-0.124283156373119,-0.0426594000104292,-0.0161209423634016,-0.00662392047537929,-0.0159837925371186,-0.0259927794556172,-0.00244524704193282
"01003",0.992591402168693,-0.0883377518685282,0.0155907626840025,-0.0630508356017792,-0.0256889200792159,-0.00457974438427173,0.039541498061968,0.00125841841887689,-0.00520842094186265,0.00681471695034236
"01004",0.981796170294457,-0.153081640821664,0.0214347695004609,-0.0974341979396893,0.0314282733897152,0.0181597848674809,0.000560667504445252,-0.0130392652841575,-0.00594445472446937,0.00137654201006499
"01005",0.988381360333931,0.0417611495251392,0.0191380649759743,-0.102447690536618,-0.0404466895972753,-0.0157735596540816,0.0151321818003803,-0.0257860826790306,-0.00532153144176139,-0.067094380213155
"01006",0.977447944692817,-0.151402564068239,0.0629758191174727,-0.125656499873991,0.000120116219124559,0.015829373575807,0.0271077164144101,-0.00522837192834173,-0.00918171268407169,0.0041289422123513
"01007",0.987828947912288,-0.137536225307731,0.0140353579162261,-0.0568618887657486,-0.0157604811532944,0.0276198064074023,0.017910821986056,-0.000512020715641996,-0.00375106251887216,0.00912606159145263
"01008",0.980940627623806,-0.0664307083804299,0.0280923185652878,-0.159191240039938,0.0742895404987981,0.0106595390768912,-0.0042119353385879,-0.0134135030823921,-0.0143983925074314,0.000598548763835297
"01009",0.968488110419058,-0.120412904569729,0.099177327098015,-0.183848735342968,0.0333238326834686,0.00156304085830854,0.00928262992844747,-0.01873046821012,-0.024914782628446,-0.0229970044354219
"01010",0.987600153278367,-0.102314406323151,0.0315229677938226,-0.0955549565036217,0.0563062405541383,-0.0073478404487316,-0.00272159150436977,-0.00742557839085858,-0.00298532569942094,0.014381857118237
"01011",0.99038353084571,-0.0614887805719144,0.0427812086207218,-0.111256740967848,-0.00749351968760735,0.00690648282433276,-0.0160909265660536,-0.0151765486019683,0.014377677587964,-0.0105959920140879
"02001",0.954340085756235,-0.16021589601338,0.17509618058599,-0.0413553775704964,-0.161676737651442,-0.0290417734009653,0.0347976966290843,0.0135072863896989,0.0384033257880999,-0.00374435904187193
"02002",0.940758935364044,-0.123926927503849,0.218584329496881,-0.0497120452304896,-0.200273744482041,-0.0266621378738707,0.0638739858578365,0.00542965182903204,0.0572977342633783,-0.00460213706720227
"02003",0.975090889558463,-0.0370610243553283,0.168955851282305,-0.0397498848879516,-0.112357135205023,-0.0313135458378626,0.0298605559357965,-0.00285372980601111,0.0462442418374039,0.00152058870519669
"02004",0.955233377576522,-0.150428614445998,0.147194980142915,-0.0214266908600549,-0.179222383790925,-0.00715714169705189,0.0766653171904647,0.00911060520221933,0.0574841027112309,0.0027598360948088
"02005",0.957079265536164,-0.100804997380885,0.199181415391131,-0.147313271036437,-0.0915353587747702,-0.0243753555576485,0.0237964602328401,-0.00373636019479685,0.032995302892112,0.0165963470068586
"02006",0.959837213581553,-0.191864538083042,0.144682176866277,0.0109364040717651,-0.134053934313226,-0.025937686321977,-0.0237898223670992,0.0145106158640231,-0.0012802709550536,-0.0153274349673631
"02007",0.927216875043048,-0.181904640632734,0.245680732810518,-0.193273055469017,-0.0511396435263479,-0.0559891718234802,-0.00793652142733003,-0.000614554090464309,0.0113658085402125,0.00489014322034583
"03001",0.962639222620585,-0.0676646693905697,0.177851534399267,-0.0544060506452656,-0.128892074572867,-0.0677757722941628,-0.0635199878764745,0.0905579708969616,-0.0044773203044865,-0.00221190790687416
"03002",0.97785759512225,-0.11549604090935,0.135609725687386,-0.0321373583667934,-0.0542515883705381,-0.0436212113450395,-0.0365788685148253,0.052131566669475,0.00226659582551886,0.00719542092734911
"03003",0.94371498995676,-0.0625473611780167,0.244225604300499,-0.137339318968542,-0.127310591434197,-0.0455880991548388,0.0574977138054237,0.0115016901152583,0.0336991971225872,-0.0062079031324395
"03008",0.964253442920325,-0.125123495267758,0.149302784861589,-0.130137947930188,-0.0985085005922744,-0.0375301101590884,0.00793014397136752,-0.0124255762097456,0.045972983003795,-0.00379220849028324
"03009",0.961458056596702,-0.0799213015928756,0.167480428681045,-0.167335155205824,0.0560544096785674,-0.0267029552603681,0.00888827595186155,0.0523599505847773,0.00822833722520755,0.0227158908297194
"04001",0.877574381564774,0.471358284124191,-0.0272617755528064,-0.0620663352276868,-0.0328381662307991,-0.0285033164210665,0.0220109089344276,0.016946084495389,0.00205820890241677,-0.00413519219322956
"04002",0.977372737783394,-0.15797529033981,0.0922387249740424,-0.0450503738027908,-0.0744341996334427,-0.000272337495725199,0.043290928600645,0.014924001553907,0.0191017220309793,0.00323211572441329
"04003",0.975813145184098,-0.164151581240665,0.0786023363719505,-0.102664240672216,-0.0562065256229983,-0.0138650637958143,-0.00786004480350457,0.00492342260301055,0.00977527457104137,-0.000318659173688959
"04004",0.986530046003672,-0.158407700816953,0.00902605112653578,-0.0117365562231927,-0.0160230408399885,-0.00372832206825135,-0.0279844510362644,0.0141488662587263,0.00789920943209633,0.00328534479642946
"04005",0.990601009453307,-0.123019077410605,-0.00130440671379529,-0.00583746511495638,0.051802739957637,0.0175865025698029,-0.000958411189412707,-0.0116431855094783,0.0065831202978077,-0.00656844767235535
"04006",0.99365904590928,0.0286780456406992,-0.0275258926372999,-0.0231427408687356,0.040882894037579,-0.0251003414873733,0.0243088298841451,-0.0163878229535646,0.00271999849530332,-0.064914022071105
"04007",0.956546099815126,-0.0536082373725191,0.15266385636317,-0.0650285766929699,0.0929576053630777,-0.058740441963837,-0.0433642412147567,0.194682689395129,-0.0226363073021644,-0.000356659691122452
"04008",0.992978311184204,-0.0541528375920907,0.0127157477378466,-0.0139222356725154,0.0897879007292496,-0.0305334787364011,0.0132119536299615,-0.0128665109574138,0.016981377435051,-0.0232095651336576
"04009",0.990475543504146,-0.126162304688295,0.0165915286701933,-0.00845523830277786,-0.0429396691655723,-0.0177750288339962,0.0106549075561438,0.00031531263807817,-0.00288141666745942,-0.00635769695848058
"04010",0.97668220567433,-0.147591390556887,0.124735616226312,-0.0637931111907402,0.0164391440365077,-0.0497881831624553,-0.0184188814780571,-0.00689508187120307,0.00341435129813258,0.0133070893084986
"04011",0.984361667029181,-0.166614383485256,0.0190924038534029,0.0158659047688318,-0.0369532825975128,-0.0233716566416012,0.000461132007514296,0.00554432106692764,0.0115568766293751,-0.0059744684201152
"04012",0.97778779501763,-0.198545211859081,-0.0190717851963205,0.00151297036601877,-0.0167649110760928,-0.0107508298550377,-0.0343144267952988,0.0457754557156296,-0.0141435365745763,0.0091573412670308
"04013",0.897150516707913,0.416857576507318,-0.137642152457798,0.0284392155606533,-0.017349813719702,-0.0248837983748846,0.0106211825614005,-0.00236319311360334,0.00958189225670861,-0.0122355569320497
"05001",0.830493209940038,-0.139511444489114,0.356125021052537,0.30789105312056,-0.156851506280992,0.0521156697232948,0.0254927378626648,-0.0353679804829891,-0.136836002876855,-0.0622563716680111
